,address,bds,cost
284,"286 & 288 Chestnut Hill Avenue | 286 Chestnut Hill Ave, Brighton, MA",Studio,"$2,250+"
285,"286 & 288 Chestnut Hill Avenue | 286 Chestnut Hill Ave, Brighton, MA",1 bd,"$2,450+"
286,"Albany Street Apartments | 601 Albany St, Boston, MA",Studio,"$2,500+"
287,"Albany Street Apartments | 601 Albany St, Boston, MA",1 bd,"$3,000+"
288,"Albany Street Apartments | 601 Albany St, Boston, MA",2 bd,"$3,450+"
289,"Gables Seaport | 501 Congress St, Boston, MA",Studio,"$2,875+"
290,"Gables Seaport | 501 Congress St, Boston, MA",1 bd,"$3,695+"
291,"Gables Seaport | 501 Congress St, Boston, MA",2 bd,"$5,255+"
292,"65 Chiswick Rd | 65 Chiswick Rd, Brighton, MA",1 bd,"$2,400+"
293,"65 Chiswick Rd | 65 Chiswick Rd, Brighton, MA",2 bd,"$2,600+"
294,"ONE52 - Luxury Apartments | 152 Liverpool St, Boston, MA",1 bd,"$2,750+"
295,"ONE52 - Luxury Apartments | 152 Liverpool St, Boston, MA",2 bd,"$3,350+"
296,"LUKA on the Common | 45 Stuart St, Boston, MA",Studio,"$3,230+"
297,"LUKA on the Common | 45 Stuart St, Boston, MA",1 bd,"$3,650+"
298,"LUKA on the Common | 45 Stuart St, Boston, MA",2 bd,"$4,720+"
299,"Eleven West | 11 W Broadway, Boston, MA",1 bd,"$3,150+"
300,"Eleven West | 11 W Broadway, Boston, MA",2 bd,"$3,937+"
301,"660 Washington | 660 Washington St, Boston, MA",Studio,"$3,210+"
302,"660 Washington | 660 Washington St, Boston, MA",1 bd,"$3,505+"
303,"660 Washington | 660 Washington St, Boston, MA",2 bd,"$5,360+"
304,"660 Washington | 660 Washington St, Boston, MA",3 bd,"$6,398+"
305,"Castle Square Apartments, 484 Tremont St #72, Boston, MA 02116",1 bd,"$2,805/mo"
306,"Waterside Place by Windsor | 505 Congress St, Boston, MA",1 bd,"$3,335+"
307,"Waterside Place by Windsor | 505 Congress St, Boston, MA",2 bd,"$4,205+"
308,"345 Harrison | 345 Harrison Ave, Boston, MA",Studio,"$2,899+"
309,"345 Harrison | 345 Harrison Ave, Boston, MA",1 bd,"$3,580+"
310,"345 Harrison | 345 Harrison Ave, Boston, MA",2 bd,"$5,255+"
311,"The Metlo | 399 Congress St, Boston, MA",Studio,"$2,869+"
312,"The Metlo | 399 Congress St, Boston, MA",1 bd,"$3,856+"
313,"The Metlo | 399 Congress St, Boston, MA",2 bd,"$5,523+"
314,"The Metlo | 399 Congress St, Boston, MA",3 bd,"$5,648+"
315,"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",Studio,"$2,000+"
316,"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",1 bd,"$2,450+"
317,"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",2 bd,"$2,950+"
318,"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",3 bd,"$4,260+"
319,"1082 Commonwealth Ave | 1082 Commonwealth Ave, Boston, MA",1 bd,"$2,800+"
320,"1082 Commonwealth Ave | 1082 Commonwealth Ave, Boston, MA",2 bd,"$3,300+"
321,"Radian | 120 Kingston St, Boston, MA",1 bd,"$3,771+"
322,"Radian | 120 Kingston St, Boston, MA",2 bd,"$5,203+"
323,"Radian | 120 Kingston St, Boston, MA",3 bd,"$7,079+"
324,"The Victor by Windsor | 110 Beverly St, Boston, MA",Studio,"$3,085+"
325,"The Victor by Windsor | 110 Beverly St, Boston, MA",1 bd,"$3,325+"
