address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"The Victor by Windsor | 110 Beverly St, Boston, MA",Studio,3085,6.1 km,10.3 km,3.4 km,4.6 km,42.365433,-71.05999849999999
"The Victor by Windsor | 110 Beverly St, Boston, MA",1,3325,6.1 km,10.3 km,3.4 km,4.6 km,42.365433,-71.05999849999999
"The Victor by Windsor | 110 Beverly St, Boston, MA",2,4615,6.1 km,10.3 km,3.4 km,4.6 km,42.365433,-71.05999849999999
"Gardner Court Apartments, 72 Gardner St #F1, Allston, MA 02134",4,4395,6.2 km,2.6 km,5.4 km,1.2 km,42.3540534,-71.1272508
"735 Truman Apartments, 735 Truman Pkwy, Hyde Park, MA 02136",1,2510,10.8 km,14.7 km,15.1 km,12.6 km,42.25170300000001,-71.12053399999999
"Girard | 50 Malden St, Boston, MA",1,3150,2.1 km,9.6 km,7.5 km,3.3 km,42.3400742,-71.0679048
"Girard | 50 Malden St, Boston, MA",2,3835,2.1 km,9.6 km,7.5 km,3.3 km,42.3400742,-71.0679048
"Hub50House | 50 Causeway St, Boston, MA",Studio,3248,4.9 km,8.7 km,3.1 km,4.4 km,42.3647173,-71.06315359999999
"Hub50House | 50 Causeway St, Boston, MA",1,3815,4.9 km,8.7 km,3.1 km,4.4 km,42.3647173,-71.06315359999999
"Hub50House | 50 Causeway St, Boston, MA",2,4971,4.9 km,8.7 km,3.1 km,4.4 km,42.3647173,-71.06315359999999
"112 Jersey ST. | 112 Jersey St, Boston, MA",Studio,2400,0.8 km,6.1 km,2.9 km,1.1 km,42.3430721,-71.0969148
"112 Jersey ST. | 112 Jersey St, Boston, MA",1,2700,0.8 km,6.1 km,2.9 km,1.1 km,42.3430721,-71.0969148
"112 Jersey ST. | 112 Jersey St, Boston, MA",2,3850,0.8 km,6.1 km,2.9 km,1.1 km,42.3430721,-71.0969148
"Diamond Fenway | 9 Miner St, Boston, MA",1,3400,1.9 km,2.8 km,3.2 km,0.7 km,42.3462607,-71.10309099999999
"Diamond Fenway | 9 Miner St, Boston, MA",2,4800,1.9 km,2.8 km,3.2 km,0.7 km,42.3462607,-71.10309099999999
"Pierce Boston | 200 Brookline Ave, Boston, MA",Studio,4142,1.6 km,3.1 km,3.5 km,1.0 km,42.3437913,-71.1019092
"Pierce Boston | 200 Brookline Ave, Boston, MA",1,4412,1.6 km,3.1 km,3.5 km,1.0 km,42.3437913,-71.1019092
"Pierce Boston | 200 Brookline Ave, Boston, MA",2,8083,1.6 km,3.1 km,3.5 km,1.0 km,42.3437913,-71.1019092
"Pierce Boston | 200 Brookline Ave, Boston, MA",3,10129,1.6 km,3.1 km,3.5 km,1.0 km,42.3437913,-71.1019092
"656 Saratoga Street | 656 Saratoga St, Boston, MA",1,2700,9.4 km,14.4 km,8.0 km,8.8 km,42.382464,-71.02126799999999
"656 Saratoga Street | 656 Saratoga St, Boston, MA",2,3500,9.4 km,14.4 km,8.0 km,8.8 km,42.382464,-71.02126799999999
